experiment_type,ensemble_name,member_key,feature_config,model_name,row_order_seed,model_seed,random_strength,l2_leaf_reg,n_members,train_subset_rows,n_columns,fit_seconds,best_iteration,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_catboost_order_sensitivity_member,,OrderCat_same_seed_5,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_5,5,5,1.0,10.0,1,69444.0,199,59.05242850002833,1148.0,test,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
history_catboost_order_sensitivity_member,,OrderCat_same_seed_5,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_5,5,5,1.0,10.0,1,69444.0,199,59.05242850002833,1148.0,test,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
history_catboost_order_sensitivity_member,,OrderCat_same_seed_5,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_5,5,5,1.0,10.0,1,69444.0,199,59.05242850002833,1148.0,test,ranking,0.1,1483,415,0.279838165879973,0.25382262996941896,0.1102643647154033,2.5378839900111556
history_catboost_order_sensitivity_member,,OrderCat_same_seed_5,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_5,5,5,1.0,10.0,1,69444.0,199,59.05242850002833,1148.0,test,ranking,0.2,2966,658,0.22184760620364127,0.40244648318042814,0.1102643647154033,2.011961042683543
history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,test,ranking,0.01,149,76,0.5100671140939598,0.046483180428134555,0.1102643647154033,4.625856371734089
history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,test,ranking,0.05,742,246,0.33153638814016173,0.15045871559633028,0.1102643647154033,3.006741017334751
history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,test,ranking,0.1,1483,409,0.27579231287929873,0.25015290519877675,0.1102643647154033,2.5011916913603924
history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,test,ranking,0.2,2966,670,0.22589345920431558,0.40978593272171254,0.1102643647154033,2.0486533413343064
history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,test,ranking,0.01,149,80,0.5369127516778524,0.04892966360856269,0.1102643647154033,4.869322496562198
history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,test,ranking,0.05,742,245,0.330188679245283,0.14984709480122324,0.1102643647154033,2.9945184928740405
history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,test,ranking,0.1,1483,408,0.275118004045853,0.24954128440366974,0.1102643647154033,2.4950763082519316
history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,test,ranking,0.2,2966,649,0.21881321645313553,0.39694189602446484,0.1102643647154033,1.98444181869547
history_catboost_order_sensitivity_member,,OrderCat_same_seed_41,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_41,41,41,1.0,10.0,1,69444.0,199,60.49428204202559,1166.0,test,ranking,0.01,149,78,0.5234899328859061,0.047706422018348627,0.1102643647154033,4.747589434148144
history_catboost_order_sensitivity_member,,OrderCat_same_seed_41,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_41,41,41,1.0,10.0,1,69444.0,199,60.49428204202559,1166.0,test,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
history_catboost_order_sensitivity_member,,OrderCat_same_seed_41,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_41,41,41,1.0,10.0,1,69444.0,199,60.49428204202559,1166.0,test,ranking,0.1,1483,412,0.27781523937963587,0.25198776758409785,0.1102643647154033,2.519537840685774
history_catboost_order_sensitivity_member,,OrderCat_same_seed_41,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_41,41,41,1.0,10.0,1,69444.0,199,60.49428204202559,1166.0,test,ranking,0.2,2966,645,0.2174645987862441,0.3944954128440367,0.1102643647154033,1.972211052478549
history_catboost_order_sensitivity_member,,OrderCat_same_seed_53,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_53,53,53,1.0,10.0,1,69444.0,199,57.81002970796544,1116.0,test,ranking,0.01,149,78,0.5234899328859061,0.047706422018348627,0.1102643647154033,4.747589434148144
history_catboost_order_sensitivity_member,,OrderCat_same_seed_53,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_53,53,53,1.0,10.0,1,69444.0,199,57.81002970796544,1116.0,test,ranking,0.05,742,249,0.33557951482479786,0.15229357798165138,0.1102643647154033,3.0434085907168824
history_catboost_order_sensitivity_member,,OrderCat_same_seed_53,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_53,53,53,1.0,10.0,1,69444.0,199,57.81002970796544,1116.0,test,ranking,0.1,1483,408,0.275118004045853,0.24954128440366974,0.1102643647154033,2.4950763082519316
history_catboost_order_sensitivity_member,,OrderCat_same_seed_53,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_53,53,53,1.0,10.0,1,69444.0,199,57.81002970796544,1116.0,test,ranking,0.2,2966,655,0.2208361429534727,0.40061162079510704,0.1102643647154033,2.002787968020852
history_catboost_order_sensitivity_member,,OrderCat_same_seed_67,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_67,67,67,1.0,10.0,1,69444.0,199,63.51715870806947,1192.0,test,ranking,0.01,149,76,0.5100671140939598,0.046483180428134555,0.1102643647154033,4.625856371734089
history_catboost_order_sensitivity_member,,OrderCat_same_seed_67,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_67,67,67,1.0,10.0,1,69444.0,199,63.51715870806947,1192.0,test,ranking,0.05,742,243,0.3274932614555256,0.14862385321100918,0.1102643647154033,2.9700734439526197
history_catboost_order_sensitivity_member,,OrderCat_same_seed_67,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_67,67,67,1.0,10.0,1,69444.0,199,63.51715870806947,1192.0,test,ranking,0.1,1483,408,0.275118004045853,0.24954128440366974,0.1102643647154033,2.4950763082519316
history_catboost_order_sensitivity_member,,OrderCat_same_seed_67,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_67,67,67,1.0,10.0,1,69444.0,199,63.51715870806947,1192.0,test,ranking,0.2,2966,656,0.22117329737019556,0.40122324159021405,0.1102643647154033,2.0058456595750824
history_catboost_order_sensitivity_member,,OrderCat_same_seed_89,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_89,89,89,1.0,10.0,1,69444.0,199,70.63287045795005,1499.0,test,ranking,0.01,149,77,0.5167785234899329,0.04709480122324159,0.1102643647154033,4.686722902941116
history_catboost_order_sensitivity_member,,OrderCat_same_seed_89,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_89,89,89,1.0,10.0,1,69444.0,199,70.63287045795005,1499.0,test,ranking,0.05,742,257,0.3463611859838275,0.15718654434250764,0.1102643647154033,3.141188786402565
history_catboost_order_sensitivity_member,,OrderCat_same_seed_89,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_89,89,89,1.0,10.0,1,69444.0,199,70.63287045795005,1499.0,test,ranking,0.1,1483,404,0.2724207687120701,0.2470948012232416,0.1102643647154033,2.4706147758180887
history_catboost_order_sensitivity_member,,OrderCat_same_seed_89,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_89,89,89,1.0,10.0,1,69444.0,199,70.63287045795005,1499.0,test,ranking,0.2,2966,658,0.22184760620364127,0.40244648318042814,0.1102643647154033,2.011961042683543
history_catboost_order_sensitivity_member,,OrderCat_same_seed_107,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_107,107,107,1.0,10.0,1,69444.0,199,69.35600045800675,1498.0,test,ranking,0.01,149,78,0.5234899328859061,0.047706422018348627,0.1102643647154033,4.747589434148144
history_catboost_order_sensitivity_member,,OrderCat_same_seed_107,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_107,107,107,1.0,10.0,1,69444.0,199,69.35600045800675,1498.0,test,ranking,0.05,742,256,0.3450134770889488,0.1565749235474006,0.1102643647154033,3.128966261941855
history_catboost_order_sensitivity_member,,OrderCat_same_seed_107,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_107,107,107,1.0,10.0,1,69444.0,199,69.35600045800675,1498.0,test,ranking,0.1,1483,407,0.2744436952124073,0.2489296636085627,0.1102643647154033,2.4889609251434712
history_catboost_order_sensitivity_member,,OrderCat_same_seed_107,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_107,107,107,1.0,10.0,1,69444.0,199,69.35600045800675,1498.0,test,ranking,0.2,2966,658,0.22184760620364127,0.40244648318042814,0.1102643647154033,2.011961042683543
history_catboost_order_sensitivity_member,,OrderCat_same_seed_149,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_149,149,149,1.0,10.0,1,69444.0,199,71.26111895800568,1483.0,test,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
history_catboost_order_sensitivity_member,,OrderCat_same_seed_149,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_149,149,149,1.0,10.0,1,69444.0,199,71.26111895800568,1483.0,test,ranking,0.05,742,254,0.3423180592991914,0.15535168195718654,0.1102643647154033,3.1045212130204343
history_catboost_order_sensitivity_member,,OrderCat_same_seed_149,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_149,149,149,1.0,10.0,1,69444.0,199,71.26111895800568,1483.0,test,ranking,0.1,1483,408,0.275118004045853,0.24954128440366974,0.1102643647154033,2.4950763082519316
history_catboost_order_sensitivity_member,,OrderCat_same_seed_149,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_149,149,149,1.0,10.0,1,69444.0,199,71.26111895800568,1483.0,test,ranking,0.2,2966,664,0.22387053270397841,0.40611620795107034,0.1102643647154033,2.030307192008925
history_catboost_order_sensitivity_member,,OrderCat_same_seed_181,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_181,181,181,1.0,10.0,1,69444.0,199,69.51361200003885,1477.0,test,ranking,0.01,149,80,0.5369127516778524,0.04892966360856269,0.1102643647154033,4.869322496562198
history_catboost_order_sensitivity_member,,OrderCat_same_seed_181,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_181,181,181,1.0,10.0,1,69444.0,199,69.51361200003885,1477.0,test,ranking,0.05,742,254,0.3423180592991914,0.15535168195718654,0.1102643647154033,3.1045212130204343
history_catboost_order_sensitivity_member,,OrderCat_same_seed_181,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_181,181,181,1.0,10.0,1,69444.0,199,69.51361200003885,1477.0,test,ranking,0.1,1483,404,0.2724207687120701,0.2470948012232416,0.1102643647154033,2.4706147758180887
history_catboost_order_sensitivity_member,,OrderCat_same_seed_181,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_181,181,181,1.0,10.0,1,69444.0,199,69.51361200003885,1477.0,test,ranking,0.2,2966,668,0.22521915037086987,0.40856269113149846,0.1102643647154033,2.042537958225846
history_catboost_order_sensitivity_member,,OrderCat_same_seed_223,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_223,223,223,1.0,10.0,1,69444.0,199,70.05354612506926,1454.0,test,ranking,0.01,149,81,0.5436241610738255,0.04954128440366973,0.1102643647154033,4.9301890277692255
history_catboost_order_sensitivity_member,,OrderCat_same_seed_223,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_223,223,223,1.0,10.0,1,69444.0,199,70.05354612506926,1454.0,test,ranking,0.05,742,249,0.33557951482479786,0.15229357798165138,0.1102643647154033,3.0434085907168824
history_catboost_order_sensitivity_member,,OrderCat_same_seed_223,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_223,223,223,1.0,10.0,1,69444.0,199,70.05354612506926,1454.0,test,ranking,0.1,1483,411,0.27714093054619016,0.25137614678899084,0.1102643647154033,2.5134224575773136
history_catboost_order_sensitivity_member,,OrderCat_same_seed_223,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_223,223,223,1.0,10.0,1,69444.0,199,70.05354612506926,1454.0,test,ranking,0.2,2966,658,0.22184760620364127,0.40244648318042814,0.1102643647154033,2.011961042683543
history_catboost_order_sensitivity_member,,OrderCat_same_seed_257,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_257,257,257,1.0,10.0,1,69444.0,199,60.85602983296849,1167.0,test,ranking,0.01,149,77,0.5167785234899329,0.04709480122324159,0.1102643647154033,4.686722902941116
history_catboost_order_sensitivity_member,,OrderCat_same_seed_257,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_257,257,257,1.0,10.0,1,69444.0,199,60.85602983296849,1167.0,test,ranking,0.05,742,249,0.33557951482479786,0.15229357798165138,0.1102643647154033,3.0434085907168824
history_catboost_order_sensitivity_member,,OrderCat_same_seed_257,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_257,257,257,1.0,10.0,1,69444.0,199,60.85602983296849,1167.0,test,ranking,0.1,1483,413,0.2784895482130816,0.25259938837920487,0.1102643647154033,2.5256532237942344
history_catboost_order_sensitivity_member,,OrderCat_same_seed_257,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_257,257,257,1.0,10.0,1,69444.0,199,60.85602983296849,1167.0,test,ranking,0.2,2966,662,0.2231962238705327,0.40489296636085625,0.1102643647154033,2.024191808900464
history_catboost_order_sensitivity_member,,OrderCat_same_seed_293,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_293,293,293,1.0,10.0,1,69444.0,199,66.21028979099356,1284.0,test,ranking,0.01,149,82,0.5503355704697986,0.05015290519877676,0.1102643647154033,4.991055558976253
history_catboost_order_sensitivity_member,,OrderCat_same_seed_293,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_293,293,293,1.0,10.0,1,69444.0,199,66.21028979099356,1284.0,test,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
history_catboost_order_sensitivity_member,,OrderCat_same_seed_293,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_293,293,293,1.0,10.0,1,69444.0,199,66.21028979099356,1284.0,test,ranking,0.1,1483,415,0.279838165879973,0.25382262996941896,0.1102643647154033,2.5378839900111556
history_catboost_order_sensitivity_member,,OrderCat_same_seed_293,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_293,293,293,1.0,10.0,1,69444.0,199,66.21028979099356,1284.0,test,ranking,0.2,2966,654,0.22049898853674982,0.4,0.1102643647154033,1.9997302764666216
history_catboost_order_sensitivity_member,,OrderCat_same_seed_331,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_331,331,331,1.0,10.0,1,69444.0,199,60.46825783397071,1153.0,test,ranking,0.01,149,78,0.5234899328859061,0.047706422018348627,0.1102643647154033,4.747589434148144
history_catboost_order_sensitivity_member,,OrderCat_same_seed_331,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_331,331,331,1.0,10.0,1,69444.0,199,60.46825783397071,1153.0,test,ranking,0.05,742,251,0.33827493261455527,0.15351681957186544,0.1102643647154033,3.067853639638303
history_catboost_order_sensitivity_member,,OrderCat_same_seed_331,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_331,331,331,1.0,10.0,1,69444.0,199,60.46825783397071,1153.0,test,ranking,0.1,1483,406,0.2737693863789616,0.24831804281345565,0.1102643647154033,2.4828455420350104
history_catboost_order_sensitivity_member,,OrderCat_same_seed_331,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_331,331,331,1.0,10.0,1,69444.0,199,60.46825783397071,1153.0,test,ranking,0.2,2966,662,0.2231962238705327,0.40489296636085625,0.1102643647154033,2.024191808900464
history_catboost_order_sensitivity_member,,OrderCat_row37_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row37_model202,37,202,1.0,10.0,1,69444.0,199,69.76382312504575,1427.0,test,ranking,0.01,149,75,0.5033557046979866,0.045871559633027525,0.1102643647154033,4.564989840527061
history_catboost_order_sensitivity_member,,OrderCat_row37_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row37_model202,37,202,1.0,10.0,1,69444.0,199,69.76382312504575,1427.0,test,ranking,0.05,742,255,0.3436657681940701,0.1559633027522936,0.1102643647154033,3.116743737481144
history_catboost_order_sensitivity_member,,OrderCat_row37_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row37_model202,37,202,1.0,10.0,1,69444.0,199,69.76382312504575,1427.0,test,ranking,0.1,1483,406,0.2737693863789616,0.24831804281345565,0.1102643647154033,2.4828455420350104
history_catboost_order_sensitivity_member,,OrderCat_row37_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row37_model202,37,202,1.0,10.0,1,69444.0,199,69.76382312504575,1427.0,test,ranking,0.2,2966,663,0.22353337828725556,0.4055045871559633,0.1102643647154033,2.0272495004546944
history_catboost_order_sensitivity_member,,OrderCat_row73_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row73_model202,73,202,1.0,10.0,1,69444.0,199,69.28737637505401,1432.0,test,ranking,0.01,149,78,0.5234899328859061,0.047706422018348627,0.1102643647154033,4.747589434148144
history_catboost_order_sensitivity_member,,OrderCat_row73_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row73_model202,73,202,1.0,10.0,1,69444.0,199,69.28737637505401,1432.0,test,ranking,0.05,742,253,0.34097035040431267,0.1547400611620795,0.1102643647154033,3.0922986885597235
history_catboost_order_sensitivity_member,,OrderCat_row73_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row73_model202,73,202,1.0,10.0,1,69444.0,199,69.28737637505401,1432.0,test,ranking,0.1,1483,404,0.2724207687120701,0.2470948012232416,0.1102643647154033,2.4706147758180887
history_catboost_order_sensitivity_member,,OrderCat_row73_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row73_model202,73,202,1.0,10.0,1,69444.0,199,69.28737637505401,1432.0,test,ranking,0.2,2966,664,0.22387053270397841,0.40611620795107034,0.1102643647154033,2.030307192008925
history_catboost_order_sensitivity_member,,OrderCat_row131_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row131_model202,131,202,1.0,10.0,1,69444.0,199,69.68043954204768,1471.0,test,ranking,0.01,149,78,0.5234899328859061,0.047706422018348627,0.1102643647154033,4.747589434148144
history_catboost_order_sensitivity_member,,OrderCat_row131_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row131_model202,131,202,1.0,10.0,1,69444.0,199,69.68043954204768,1471.0,test,ranking,0.05,742,251,0.33827493261455527,0.15351681957186544,0.1102643647154033,3.067853639638303
history_catboost_order_sensitivity_member,,OrderCat_row131_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row131_model202,131,202,1.0,10.0,1,69444.0,199,69.68043954204768,1471.0,test,ranking,0.1,1483,409,0.27579231287929873,0.25015290519877675,0.1102643647154033,2.5011916913603924
history_catboost_order_sensitivity_member,,OrderCat_row131_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row131_model202,131,202,1.0,10.0,1,69444.0,199,69.68043954204768,1471.0,test,ranking,0.2,2966,667,0.224881995954147,0.40795107033639144,0.1102643647154033,2.0394802666716156
history_catboost_order_sensitivity_member,,OrderCat_row313_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row313_model202,313,202,1.0,10.0,1,69444.0,199,66.15096700005233,1287.0,test,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
