threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,experiment_type,feature_config,model_name,n_columns,fit_seconds,best_iteration,split,threshold_strategy
0.5,0.2836120908286606,0.7095749775399861,0.10342889263631254,0.4972972972972973,0.17124243834341554,0.8818260234888196,13106,186,1595,184,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,validation,default_0.5
0.25738488678421395,0.2836120908286606,0.7095749775399861,0.43676222596964587,0.274364406779661,0.33702016916070265,0.7971601088182603,11237,2055,1002,777,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,validation,best_f1
0.1697134039271866,0.2836120908286606,0.7095749775399861,0.7234401349072512,0.18372591006423983,0.2930327868852459,0.5879503682569173,7574,5718,492,1287,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,validation,best_f2
0.07162107786835659,0.2836120908286606,0.7095749775399861,0.9932546374367622,0.12,0.21412990790111489,0.13940680777652445,334,12958,12,1767,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,validation,max_recall_precision_ge_0.12
0.12528320541345306,0.2836120908286606,0.7095749775399861,0.8763350196739741,0.15000481093043394,0.256161682550115,0.39924358038617214,4458,8834,220,1559,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,validation,max_recall_precision_ge_0.15
0.18869358303352987,0.2836120908286606,0.7095749775399861,0.6503653738055087,0.2,0.3059227921734532,0.6516488620529494,8664,4628,622,1157,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,validation,max_recall_precision_ge_0.20
0.5,0.23554458846452248,0.6831924816028145,0.08256880733944955,0.4272151898734177,0.13839056893900564,0.8866333962773132,13012,181,1500,135,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,test,default_0.5
0.2567349795243416,0.23554458846452248,0.6831924816028145,0.39327217125382263,0.2325497287522604,0.2922727272727273,0.7899919072025897,11071,2122,992,643,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,test,best_f1
0.14642927837556785,0.23554458846452248,0.6831924816028145,0.7767584097859327,0.15347432024169183,0.25630676084762866,0.5029673590504451,6188,7005,365,1270,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,test,best_f2
0.093524875535392,0.23554458846452248,0.6831924816028145,0.9584097859327217,0.12000306325624138,0.21329884979241817,0.22046128945238738,1702,11491,68,1567,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,test,max_recall_precision_ge_0.12
0.1431213707179016,0.23554458846452248,0.6831924816028145,0.782262996941896,0.15001172882946281,0.25174687530754847,0.48725384407876987,5946,7247,356,1279,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,test,max_recall_precision_ge_0.15
0.21931689030959725,0.23554458846452248,0.6831924816028145,0.4954128440366973,0.2,0.2849604221635884,0.7258564877259239,9953,3240,825,810,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,test,max_recall_precision_ge_0.20
0.5,0.28369393972079787,0.7098353546922949,0.10792580101180438,0.5026178010471204,0.17769551133734382,0.8820914338796364,13102,190,1587,192,patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,validation,default_0.5
0.26119374135691065,0.28369393972079787,0.7098353546922949,0.43114109050028104,0.2766955266955267,0.3370687760931663,0.7998142127264283,11287,2005,1012,767,patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,validation,best_f1
0.17304064258269417,0.28369393972079787,0.7098353546922949,0.716132658797077,0.187546003238628,0.297246850209986,0.6002919514298984,7773,5519,505,1274,patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,validation,best_f2
0.06914356853373906,0.28369393972079787,0.7098353546922949,0.9949409780775716,0.12,0.21416903623933692,0.13814610842014466,312,12980,9,1770,patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,validation,max_recall_precision_ge_0.12
0.1258683358612717,0.28369393972079787,0.7098353546922949,0.8707138842046094,0.15000968429207825,0.25592730276745146,0.4023621524782695,4515,8777,230,1549,patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,validation,max_recall_precision_ge_0.15
0.18952639214089648,0.28369393972079787,0.7098353546922949,0.6447442383361439,0.2,0.30529677934522226,0.6536394399840754,8704,4588,632,1147,patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,validation,max_recall_precision_ge_0.20
0.5,0.23670011203161917,0.6838739197948315,0.08256880733944955,0.4299363057324841,0.13853258081067213,0.8867682762341516,13014,179,1500,135,patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,test,default_0.5
0.2680214587566049,0.23670011203161917,0.6838739197948315,0.3657492354740061,0.24279334145351197,0.29184968277208395,0.8042891826274615,11328,1865,1037,598,patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,test,best_f1
0.15526530078952028,0.23670011203161917,0.6838739197948315,0.7443425076452599,0.1589395324539637,0.26194575979337065,0.537496628001079,6753,6440,418,1217,patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,test,best_f2
0.09177380287039301,0.23670011203161917,0.6838739197948315,0.963302752293578,0.12,0.21341463414634146,0.21702185055300782,1643,11550,60,1575,patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,test,max_recall_precision_ge_0.12
0.14356889865045583,0.23670011203161917,0.6838739197948315,0.7798165137614679,0.15,0.25160335471139617,0.48846776369031564,5968,7225,360,1275,patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,test,max_recall_precision_ge_0.15
0.21937553715327393,0.23670011203161917,0.6838739197948315,0.4984709480122324,0.2,0.28546409807355516,0.7248448880496359,9933,3260,820,815,patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,test,max_recall_precision_ge_0.20
0.5,0.2850776508921959,0.7103780150168726,0.1017425519955031,0.4826666666666667,0.1680594243268338,0.8810961449140734,13098,194,1598,181,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr0015_custom025,199,89.37128087494057,1827,validation,default_0.5
0.26601936204434157,0.2850776508921959,0.7103780150168726,0.41877459246767845,0.2793400824896888,0.3351327035537562,0.8038617211863844,11370,1922,1034,745,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr0015_custom025,199,89.37128087494057,1827,validation,best_f1
0.1782597117422612,0.2850776508921959,0.7103780150168726,0.6953344575604272,0.19249922191098662,0.30152346130408286,0.6197332625572292,8103,5189,542,1237,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr0015_custom025,199,89.37128087494057,1827,validation,best_f2
0.06739412200086946,0.2850776508921959,0.7103780150168726,0.9943788645306352,0.12000542704022793,0.21416464891041162,0.13861057660407405,320,12972,10,1769,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr0015_custom025,199,89.37128087494057,1827,validation,max_recall_precision_ge_0.12
0.12433462203429599,0.2850776508921959,0.7103780150168726,0.8763350196739741,0.15000481093043394,0.256161682550115,0.39924358038617214,4458,8834,220,1559,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr0015_custom025,199,89.37128087494057,1827,validation,max_recall_precision_ge_0.15
0.18765254021997585,0.2850776508921959,0.7103780150168726,0.65654862282181,0.2,0.30660191626197664,0.6494592263287108,8620,4672,611,1168,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr0015_custom025,199,89.37128087494057,1827,validation,max_recall_precision_ge_0.20
0.5,0.23858794711287945,0.6838699792379008,0.0837920489296636,0.43354430379746833,0.14044079958995387,0.88690315619099,13014,179,1498,137,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr0015_custom025,199,89.37128087494057,1827,test,default_0.5
0.24302231000000146,0.23858794711287945,0.6838699792379008,0.42813455657492355,0.22250476795931343,0.29282576866764276,0.7719854329646615,10747,2446,935,700,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr0015_custom025,199,89.37128087494057,1827,test,best_f1
0.14427135323636822,0.23858794711287945,0.6838699792379008,0.7828746177370031,0.15230842455973345,0.25500547863333,0.49561640140275154,6069,7124,355,1280,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr0015_custom025,199,89.37128087494057,1827,test,best_f2
0.09141615125228386,0.23858794711287945,0.6838699792379008,0.9602446483180428,0.12000305740273638,0.2133442043755945,0.21917992986242243,1680,11513,65,1570,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr0015_custom025,199,89.37128087494057,1827,test,max_recall_precision_ge_0.12
0.1407555062719138,0.23858794711287945,0.6838699792379008,0.7969418960244649,0.1500115127791849,0.2524949132835966,0.4797005664958187,5810,7383,332,1303,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr0015_custom025,199,89.37128087494057,1827,test,max_recall_precision_ge_0.15
0.2216184604402977,0.23858794711287945,0.6838699792379008,0.4831804281345566,0.2,0.2829006266786034,0.7299028864310764,10033,3160,845,790,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr0015_custom025,199,89.37128087494057,1827,test,max_recall_precision_ge_0.20
0.5,0.28327141410885187,0.7082159585101674,0.10680157391793142,0.4960835509138381,0.1757631822386679,0.8817596708911154,13099,193,1589,190,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr002_custom025,199,61.45363437500782,1288,validation,default_0.5
0.25619585971409997,0.28327141410885187,0.7082159585101674,0.4406970207982012,0.26932325661284784,0.33432835820895523,0.7928471899674873,11165,2127,995,784,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr002_custom025,199,61.45363437500782,1288,validation,best_f1
0.1728225354911183,0.28327141410885187,0.7082159585101674,0.7133220910623946,0.18659020732245257,0.2958041958041958,0.5990976046712229,7760,5532,510,1269,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr002_custom025,199,61.45363437500782,1288,validation,best_f2
0.06903297238008944,0.28327141410885187,0.7082159585101674,0.9938167509836987,0.12000271499355189,0.21414728682170542,0.13900869219029924,327,12965,11,1768,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr002_custom025,199,61.45363437500782,1288,validation,max_recall_precision_ge_0.12
0.1270574773179617,0.28327141410885187,0.7082159585101674,0.8622821810005621,0.15000977899471934,0.25556018325697627,0.4070068343175635,4600,8692,245,1534,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr002_custom025,199,61.45363437500782,1288,validation,max_recall_precision_ge_0.15
0.188744096005335,0.28327141410885187,0.7082159585101674,0.6503653738055087,0.2,0.3059227921734532,0.6516488620529494,8664,4628,622,1157,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr002_custom025,199,61.45363437500782,1288,validation,max_recall_precision_ge_0.20
0.5,0.23815479647167126,0.6836138430374183,0.0837920489296636,0.43769968051118213,0.1406570841889117,0.8871054761262477,13017,176,1498,137,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr002_custom025,199,61.45363437500782,1288,test,default_0.5
0.2664743391031187,0.23815479647167126,0.6836138430374183,0.3724770642201835,0.24176260420801907,0.2932113625421281,0.8019962233612086,11283,1910,1026,609,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr002_custom025,199,61.45363437500782,1288,test,best_f1
0.15759472455244383,0.23815479647167126,0.6836138430374183,0.7333333333333333,0.15986666666666666,0.26250684181718664,0.5456568653898031,6892,6301,436,1199,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr002_custom025,199,61.45363437500782,1288,test,best_f2
0.09159211698708228,0.23815479647167126,0.6836138430374183,0.963914373088685,0.1200030457625828,0.2134344528710726,0.2166172106824926,1636,11557,59,1576,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr002_custom025,199,61.45363437500782,1288,test,max_recall_precision_ge_0.12
0.14292222678256383,0.23815479647167126,0.6836138430374183,0.7847094801223241,0.15000584590202268,0.2518649391440911,0.485972484488805,5923,7270,352,1283,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr002_custom025,199,61.45363437500782,1288,test,max_recall_precision_ge_0.15
0.21993009309702202,0.23815479647167126,0.6836138430374183,0.4948012232415902,0.2,0.2848591549295775,0.7260588076611816,9957,3236,826,809,patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr002_custom025,199,61.45363437500782,1288,test,max_recall_precision_ge_0.20
0.5,0.2808657973008864,0.7107249167190635,0.1045531197301855,0.4946808510638298,0.1726218097447796,0.8816933182934111,13102,190,1593,186,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr0015_custom025,167,68.1591790409293,1448,validation,default_0.5
0.24323103214970884,0.2808657973008864,0.7107249167190635,0.4806070826306914,0.2582301419510722,0.33595284872298625,0.7757282197598036,10836,2456,924,855,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr0015_custom025,167,68.1591790409293,1448,validation,best_f1
0.17490706876796527,0.2808657973008864,0.7107249167190635,0.7172568858909499,0.18906504667358126,0.29924953095684803,0.6034768761197001,7819,5473,503,1276,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr0015_custom025,167,68.1591790409293,1448,validation,best_f2
0.07092345949216282,0.2808657973008864,0.7107249167190635,0.9938167509836987,0.12000271499355189,0.21414728682170542,0.13900869219029924,327,12965,11,1768,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr0015_custom025,167,68.1591790409293,1448,validation,max_recall_precision_ge_0.12
0.12513480706249203,0.2808657973008864,0.7107249167190635,0.879707700955593,0.15000479248538293,0.256305273501474,0.3973857076504545,4424,8868,214,1565,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr0015_custom025,167,68.1591790409293,1448,validation,max_recall_precision_ge_0.15
0.18807869190178622,0.2808657973008864,0.7107249167190635,0.6638560989319843,0.2,0.30739198334200935,0.6468714750182469,8568,4724,598,1181,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr0015_custom025,167,68.1591790409293,1448,validation,max_recall_precision_ge_0.20
0.5,0.23641929203211726,0.6835427739341895,0.07767584097859327,0.4205298013245033,0.13113061435209086,0.8864985163204748,13018,175,1508,127,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr0015_custom025,167,68.1591790409293,1448,test,default_0.5
0.2518469304121524,0.23641929203211726,0.6835427739341895,0.40489296636085625,0.2256305385139741,0.28977894506456553,0.7811572700296736,10921,2272,973,662,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr0015_custom025,167,68.1591790409293,1448,test,best_f1
0.1475369725937445,0.23641929203211726,0.6835427739341895,0.7792048929663609,0.15405078597339783,0.25724381625441695,0.5038440787698948,6197,6996,361,1274,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr0015_custom025,167,68.1591790409293,1448,test,best_f2
0.09361397816103938,0.23641929203211726,0.6835427739341895,0.9602446483180428,0.12000305740273638,0.2133442043755945,0.21917992986242243,1680,11513,65,1570,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr0015_custom025,167,68.1591790409293,1448,test,max_recall_precision_ge_0.12
0.14293935481551112,0.23641929203211726,0.6835427739341895,0.7902140672782875,0.15000580517821896,0.25214676034348166,0.48314000539519825,5872,7321,343,1292,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr0015_custom025,167,68.1591790409293,1448,test,max_recall_precision_ge_0.15
0.22327719816398717,0.23641929203211726,0.6835427739341895,0.4819571865443425,0.2,0.2826905829596413,0.7303075263015916,10041,3152,847,788,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr0015_custom025,167,68.1591790409293,1448,test,max_recall_precision_ge_0.20
0.5,0.28187691908866297,0.7088305534678583,0.10511523327712198,0.49866666666666665,0.17363045496750232,0.8818923760865238,13104,188,1592,187,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr002_custom025,167,53.55386187497061,1107,validation,default_0.5
0.26029875702094907,0.28187691908866297,0.7088305534678583,0.4255199550309162,0.2702606212067119,0.33056768558951966,0.7965629354389224,11248,2044,1022,757,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr002_custom025,167,53.55386187497061,1107,validation,best_f1
0.18132002352688123,0.28187691908866297,0.7088305534678583,0.6874648679033165,0.19502471695104448,0.30385093167701865,0.6281600424656625,8244,5048,556,1223,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr002_custom025,167,53.55386187497061,1107,validation,best_f2
0.07093012982267892,0.28187691908866297,0.7088305534678583,0.9943788645306352,0.12000542704022793,0.21416464891041162,0.13861057660407405,320,12972,10,1769,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr002_custom025,167,53.55386187497061,1107,validation,max_recall_precision_ge_0.12
0.12577012134649376,0.28187691908866297,0.7088305534678583,0.8718381112984823,0.15,0.2559617130126248,0.4016986265012275,4503,8789,228,1551,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr002_custom025,167,53.55386187497061,1107,validation,max_recall_precision_ge_0.15
0.18797462037737597,0.28187691908866297,0.7088305534678583,0.6599213041034289,0.2,0.30696823114132565,0.6482648795700352,8596,4696,605,1174,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr002_custom025,167,53.55386187497061,1107,validation,max_recall_precision_ge_0.20
0.5,0.23683060726802027,0.6831425524285305,0.08256880733944955,0.4426229508196721,0.13917525773195877,0.8873752360399245,13023,170,1500,135,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr002_custom025,167,53.55386187497061,1107,test,default_0.5
0.2588761251658321,0.23683060726802027,0.6831425524285305,0.39021406727828745,0.23438648052902278,0.292862061051182,0.7922174264904235,11109,2084,997,638,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr002_custom025,167,53.55386187497061,1107,test,best_f1
0.15084514193115478,0.23683060726802027,0.6831425524285305,0.7596330275229358,0.1553859627173777,0.25799750727046117,0.5182087941731859,6442,6751,393,1242,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr002_custom025,167,53.55386187497061,1107,test,best_f2
0.09243766876290482,0.23683060726802027,0.6831425524285305,0.963302752293578,0.12,0.21341463414634146,0.21702185055300782,1643,11550,60,1575,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr002_custom025,167,53.55386187497061,1107,test,max_recall_precision_ge_0.12
0.14345104054344776,0.23683060726802027,0.6831425524285305,0.782262996941896,0.15001172882946281,0.25174687530754847,0.48725384407876987,5946,7247,356,1279,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr002_custom025,167,53.55386187497061,1107,test,max_recall_precision_ge_0.15
0.21826296655465768,0.23683060726802027,0.6831425524285305,0.5064220183486239,0.2,0.28675324675324676,0.7222147288912868,9881,3312,807,828,patient_history_features,history_no_medication_detail,HistoryCat_d6_lr002_custom025,167,53.55386187497061,1107,test,max_recall_precision_ge_0.20
